,书名,豆瓣链接,评分,评分人数,作者国籍,作者,出版社,原作名,译者,出版日期,页数,价格,装帧,丛书,ISBN,内容简介,作者简介
0,原来你还在这里,https://book.douban.com/subject/2331434/,7.6,46777, ,辛夷坞,朝华出版社, , ,2007-10,331,25.00,平装16开, ,9787505417731,苏韵锦爱上了高中同学程铮，程铮也深深爱着她。但是家庭背景不同的二人，生活上的差异要彼此分开。而韵锦在分开之后才发觉有了程铮的孩子。个性强的韵锦没有告知程铮。在几年后，韵锦事业有成发觉程铮又出现在她的生活中，她们的爱情会开花结果吗？,辛夷坞，办公室闲人，青春将逝未逝，业余爱好空白，聊以写文谋杀时间。无远大抱负，热衷一切小情小趣的事物，但并不迷恋。平生最大的优点就是不感性，不较真，最大的缺点是明知故犯。
1,是你来检阅我的忧伤了吗,https://book.douban.com/subject/1022492/,7.1,5218, ,张悦然,上海译文出版社, , ,2004-05,134,19.00,平装, ,9787532734511,《是你来检阅我的忧伤了吗》优秀而奇特，是当下最时尚最高贵的文字类型。配有多幅华美照片，诠释诗一般美丽的意境。人如其文，文如其人，相得益彰。,张悦然，青春玉女作家，“新概念作家”中最杰出的代表人物之一。1982年出生于山东济南，2001年毕业于山东省实验中学，后考入山东大学英语、法律双学位班，现在新加坡国立大学攻读理科。2002年被《萌芽》网站评为“最富才情的女作家”、“最受欢迎的女作家”，2003年八月获得第五届“新加坡最高文学奖”第二名。2003年10月获得《上海文学》“文学新人大大奖赛”二等奖。 张悦然是第三届新概念作文大赛一等奖。“新概念作家”最杰出的代表人物之一，是现在仅次于郭敬明的新生代青春派作家，她从14岁开始发表文学作品，先后在《萌芽》、《芙蓉》、《特区文学》、《青年思想家》等报刊上发表许多小说利散文。2003年8月在新加坡获得第五届“新加坡最高文学奖”第二名，2003年10月获得《上海文学》“文学新人大奖赛“二等奖。张悦然的作品在全国青少年中引起了极人关注，很多读者在全国各大文学网站上对她的作品连续发表了热烈的评论。在《萌芽》的官方网站的民意调查中，张悦然先后获得“最富才情的女作家”、“最受欢迎的女作家”等称号。她被公认为是“新概念作文人赛”推山的最具实力利潜力的女作家。
2,1Q84 BOOK 3,https://book.douban.com/subject/5385852/,7.6,48722,日,村上春树,南海出版公司, ,施小炜,2011-1,416,39.50,精装,新经典文库·村上春树作品,9787544249867,1Q84简体中文版官方网站：http://www.douban.com/minisite/1q84/ “不管喜欢还是不喜欢，目前我已经置身于这‘1Q84年’。我熟悉的那个1984年已经无影无踪，今年是1Q84年。空气变了，风景变了。我必须尽快适应这个带着问号的世界。像被 放进陌生 森林中的动物一样，为了生存下去，得尽快了解并顺应这里的规则。” 《1Q84》写一对十岁时相遇后便各奔东西的三十岁男女，相互寻觅对方的故事，并将这个简单故事变成复杂的长篇。我想将这个时代所有世态立体地写出，成为我独有的“综合小说”。超越纯文学这一类型，采取多种尝试。在当今时代的空气中嵌入人类的生命。——村上春树,村上春树 著名作家。 1979年，《且听风吟》出版以来，寂寞忧郁的文字、清淡闲适的情节，尤其是独特新颖的都市感觉的写作文风，令万千读者如痴如醉。随着《挪威的森林》、《舞！舞！舞！》、《海边卡夫卡》等作品的陆续出版，逐渐赢得世界性的崇高声誉，最终形成“村上春树文学山系”。 2009年，集毕生文学之大成的巅峰杰作《1Q84》隆重出版，以席卷之势荣登日本所有畅销榜首，在整个日本、东亚乃至全球都引起巨大反响。正如媒体评论：“如此重大而复杂的题材，几可视为日本文学在新千年的伟大开篇。”
3,呼啸山庄,https://book.douban.com/subject/1033997/,8.7,11000,英,艾米莉·勃朗特,译林出版社,Wuthering Heights,杨苡,2006-3,334,15.00,精装,名著译林,9787805670768,《呼啸山庄》通过三十多年的时间跨度，叙述了恩肖和林敦两家两代人的感情纠葛这样一个错综复杂、惊心动魄的故事。艾米莉打破传统，率先采用了基本倒叙法，即小说的主体部分采用倒叙，只有开头的三章和结尾的四章是顺叙。一上来就让读者看到了这场爱情复仇风暴的基本格局，把呼啸山庄的那种荒凉、败落的环境和人际冷漠、紧张的气氛，呈现在读者的面前，使读者和洛克伍德一起产生了种种疑团。通过洛克伍德夜宿山庄的所见所闻和可怕的梦魇，山庄有了一种悲凉和神秘的色彩，更加增加了悬念，迫使读者非去寻根问底、弄个水落石出不可。 《呼啸山庄》不仅结构奇巧，手法独特，而且在细节的描写和语言的运用上，也有其独到之处。不管是景色、器物还是人物外表，描写都极为鲜明精细，如对两个庄园周围的自然景色和内部的家具布置的描写等，就连故事情节的年月日，也都非常确切严密，甚至可以列出一张精确的年代表。所用的语言的质朴、生动、明快、流畅，不事雕琢，但又遒劲、凝练、简洁，惜墨如金，从而使作品大大地加强了真实感人的生活气息，渲染了强烈浓厚的思想感情，丰富了奇特超凡的主观想像。再加上梦幻、象征、预兆、隐喻的运用，以及神秘、怪诞的哥特式手法，使作品更加富有诗意，加强了深度和力度。,艾米莉·勃朗特（1818～1848），英国女作家。夏洛蒂·勃朗特之妹，安妮·勃朗特之姐。出生于贫苦的牧师之家，曾在生活条件恶劣的寄宿学校求学，也曾随姐姐去比利时学习法语、德语和法国文学，准备将来自办学校，但未如愿。艾米莉性格内向，娴静文雅，从童年时代起就酷爱写诗。1846年，她们三姐妹曾自费出过一本诗集。《呼啸山庄》是她唯一的一部小说，发表于1847年12月。她们三姐妹的三部小说——夏洛蒂的《简·爱》、艾米莉的《呼啸山庄》和小妹妹安妮的《艾格尼斯·格雷》是同一年问世的。除《呼啸山庄》外，艾米莉还创作了193首诗，被认为是英国一位天才的女作家。
4,不羁的风,https://book.douban.com/subject/1322328/,7.4,8429, ,亦舒,新世界出版社, , ,2005-5,186,16.00,平装,亦舒新经典,9787801876409,那个可爱、温柔、善解人意的少女去了何处？短短几个月，好像没有司机已经不晓得走路，学会指挥下人，不再接受有人逆她意思。 不过，这也等于释放了他，他爱幕的楚楚动人的可人儿不得存在了。 她绝对不需要他，他守在一旁等上一个世纪也没有用。 “不羁的风”——在这艘豪华的游轮上，到处充斥着权势、地位、金钱。 风流倜傥的余秋深接近清秀的唐清流，目的却是她身边已近古稀且双腿残疾的主人刘太太。 即将走上红地毯的刹那，刘太太顿悟，一场闹剧般的婚姻就此结束。 刘太太的去世使得清流得到一笔不小的遗产，同时也使得她行为、作态日渐像极了刘太太，是她的灵魂附了她的体吗？ 如果不是，主仆二人为什么会为同一人神魂颠倒呢？难道只是因为曾经那深情的一吻？,亦舒，生于上海。曾在《明报》任职记者及担任电影杂志采访记者和编辑。后赴英国留学，任职酒店公关部。进入香港政府新闻处担任新闻官，七年后辞职。现为全职作家及家庭主妇，并移居加拿大。
5,喜宝,https://book.douban.com/subject/1613372/,8.3,8725, ,亦舒,南海出版公司, , ,2002-10,287,18.00,平装,亦舒精选,9787544222440,《喜宝》是亦舒精选之一，其它包括：《小玩意》、《人淡如菊》、《烈火》、《香雪海》《没有月亮的晚上》、《没有季节的都会》、《玫瑰的故事》、《开到荼》、《红尘》、《石榴图》、《我们不是天使》、《异乡人》、《胭脂》、《圆舞》、《我的前半生》、《她比烟花寂寞》、《连环》、《流金岁月》、《天若有情》内容精彩，通俗易懂。 爱是带来快乐最重要的因素，我们因此又拼命追求爱，一点点影子，都是好的。,亦舒，生于上海。曾在《明报》任职记者及担任电影杂志采访记者和编辑。后赴英国留学，任职酒店公关部。进入香港政府新闻处担任新闻官，七年后辞职。现为全职作家及家庭主妇，并移居加拿大。
6,我的视觉日记,https://book.douban.com/subject/1012039/,8.1,4036, ,王小慧,学林出版社, , ,2001-9,417,38.00,平装,新视觉书坊,9787806680674,旅德摄影艺术家王小慧以文字伴随摄影的形式——视觉日记，完整地记录了自己旅居德国十五年来的亲身经历。书中的17个章节，既有缠绵的爱的誓言和浓烈的亲情，也有超前的艺术实践，更有无私的超越国界的人道主义关怀……凡此种种，王小慧都用她犀利的目光——照相机镜头永恒固定。,
7,破事儿,https://book.douban.com/subject/3776157/,7.8,5732, ,彭浩翔,国际文化出版公司,Trivial matters, ,2009-6,187,22.00,平装, ,9787801738790,短篇小说集，收有18篇短篇小说，故事无外乎城中那些饮食男女快意恩仇的破事儿。彭浩翔一如既往地捉住男女基因里对峙，制造巧合与偶然，恶作剧般地把这份尴尬摆上台面：情侣因为方言把“诗”听作“屎”，导致情缘破裂；遭遇分手的上班族因为1角钱和出租车司机大打出手，还上了电视新闻；交易结束，嫖客在为妓女手机充值时，突然暗生情愫……,彭浩翔，当今华语影坛最瞩目、创作力最澎湃之青年导演。1973年生于香港。五岁时因被家人认为患有轻度智障，险些入读特殊小学，但却在智力测验中证实智商高达135分。自十二岁起，即与兄长用摄录机自导自演枪战片。1993年到台湾升学，半年后辍学回港，随即加入电视台担任编剧，同时亦兼写小说及影评。
8,玫瑰的故事,https://book.douban.com/subject/1010362/,8.2,6412, ,（香港）亦舒,海天出版社, , ,1988-6,284,9.80,平装,亦舒作品系列,9787806154281,黄玫瑰因貌美而追求者不断．并给她带来诸多烦恼。当她将自己的感情倾注于庄国栋时．庄却绝情而去……极度悲伤的玫瑰赴美留学，并与方协文结婚。十年后，玫瑰与丈夫离，独自返港，在孤种、寂寞之中结识了了身患绝症的傅家明，三个月的热恋使柔肠断…… 几年后，玫瑰巧遇十几年来一来思念着她并己离异的庄国栋，玫瑰内心极度矛盾与痛苦，最后毅然选择了自己的归所。,亦舒，生于上海。曾在《明报》任职记者及担任电影杂志采访记者和编辑。后赴英国留学，任职酒店公关部。进入香港政府新闻处担任新闻官，七年后辞职。现为全职作家及家庭主妇，并移居加拿大。
9,查特莱夫人的情人,https://book.douban.com/subject/1039840/,7.6,6878,英,劳伦斯,人民文学出版社, ,赵苏苏,2004-01,398,24.00,平装,廊桥书系,9787020044313,《查特莱夫人的情人》（1928）是劳伦斯的最后一部小说。作者在作品中揭示了人性中的本能力量，并辛辣地批评了现代工业社会。书中描写男女主人公性爱的文字曾引起争论，在英国和美国遭禁三十余年。故事发生在一战后的英格兰，从战场上归来的克利福特・查泰莱爵士在战争中受伤而致使下半身瘫痪，终身只能坐在轮椅上，他与新婚燕尔的妻子康妮回到老家的庄园定居。年轻貌美而心地善良的康妮，明知等待着自己的将是漫长孤寂的苦行僧般的日子，却仍接受了命运的安排，甘愿留在丈夫身边。 一天康妮去找庄园的看林人米尔斯，却在无意中瞥见了他裸露的上身，心情激荡不已，米尔斯显然也被典雅温婉的康妮所吸引。克利福特为了家族的传承，向康妮提出希望她能给这个家生个孩子，遭到康妮的断然拒绝。圣诞晚会上，客人们尽情狂欢，康妮独坐一旁，爸爸和妹妹都纷纷劝她要珍惜自己的青春，要有自己的生活。 在妹妹希尔达的帮助下，克利福特终于聘请了一位寡妇伯尔顿太太随身伺候。获得一些自由时间的康妮经常到林间散步，在和米尔斯的接触中逐渐产生了感情。日子一天天过去，康妮越来越不能忍受查泰莱大宅中华丽但却刻板苍白的生活，她觉得自己奄奄一息，她向往室外的大自然，向往米尔斯身上代表的活力。两个人不由自主地互相接近，终于康妮倒在了米尔斯的怀中。他们一次次的做爱，如同劳伦斯为我们精心描述的，两个健康肉体之间的完满的性爱、全身全心投入的性爱、相互尊重理解善意回应的性爱，两人由最初纯粹的肉体吸引慢慢转化成了灵魂的相互碰撞，米尔斯用爱抚与热情把康妮变成一个真正意义上的完整的女人，康妮则惊奇地发现自己深深爱上了这个粗鲁不文却深沉热情的男子，他们成了灵欲合一的情人。当康妮晚上偷偷从大宅里溜出来奔向在一旁守候她的米尔斯的时候，她已经完全向这段感情臣服。 康妮与米尔斯在雨中裸跑的一段最令人难忘，康妮冲向屋外，脱去身上的长袍，她完美无瑕的胴体在葱绿的森林中显得那样自然和谐，两人犹如快乐的精灵般在雨中奔跑、嬉戏。之后，他们用鲜花装点彼此，裸裎相对，犹如回归原始的亚当与夏娃，没有了衣服的界定，横亘在两人之间的等级障碍也就不复存在。 康妮怀上了米尔斯的孩子，在外出旅游期间，她把自己的故事向希尔达坦承，希尔达对康妮的做法不以为然，她开始积极地为孩子物色一个贵族父亲，被康妮拒绝。康妮发现自己难以割舍对米尔斯的思念，她提前回到庄园，却发现米尔斯迫于压力已经辞职，并遭到了毒打，被遣送到矿上烧煤。昔日的小木屋也不再是他们的乐园，二人似乎已经走投无路。米尔斯决心离开英国，到加拿大开辟新生，康妮面临着抉择。 她要求克利福提出离婚，并告诉他，她所爱的人是看林人米尔斯。克利福特得知后，犹如堕入陷阱的困兽，狂怒道：“天哪！你竟和我的一个仆人发生关系！” 和小说最后的结局不同，康妮与米尔斯这一对最终相遇在前往加拿大的船上，两个人的明天是光明而充满希望的，康妮放弃了雍容奢华但死气沉沉的贵妇生活，奔向自由与爱情。米尔斯跨过的那道头等舱的标示意味深长，它象征着两个来自不同阶层的人终于冲破世俗的障碍，获得新生。,劳伦斯（1885-1930）是二十世纪英国最独特和最有争议的作家之一。他生于诺丁汉一个矿工家庭，二十一岁时入诺丁汉大学学习，一生中创作了四十余部小说、诗歌、游记等作品，《儿子与情人》被认为是其最好的小说。劳伦斯提倡人性自由发展，反对工业文明对自然的破坏。他的作品对家庭、婚姻和性进行了深入探索，对20世纪的小说写作产生了广泛影响。她是英国诗人、小说家、散文家，曾在国内外漂泊十多年。他写过诗，但主要写长篇小说，共有 10 部，最著名的为《虹》（ 1915 ）、《爱恋中的女人》（ 1921 ）和《查特莱夫人的情人》（ 1928 ）。《查特莱夫人的情人》是劳伦斯的最后一部小说。劳伦斯相信，人类的性爱具有至高无上的价值，也许这个世界上没有一个作家能像他那样，以宗教般的热忱赞美人间性爱，以细腻微妙的笔触描绘两性关系中那种欲仙欲死的境界，而那伴随着炽烈的性爱体验的，是对历史、政治、宗教、经济等社会问题的严肃思考。由于小说毫不隐晦地描写了性爱，因而被斥为淫秽作品，并遭查禁。1959年出版此书的英国企鹅出版社还被控犯有出版淫秽作品罪，引起了轰动整个西方出版界的官司。直到1960年10月伦敦中央刑事法院裁定出版社无罪，小说才得以解禁。《查特莱夫人的情人》虽然命运坎坷，但终以其严肃的寓意、社会批判的主题，真切透辟的写实手法和细腻深刻的心理描写成为名著，并对现当代英国乃至西方文学产生了重大影响。
